Product Name,Price,Original Prices,Discount rates,brand
axium axs154,499,947,47% off,axium
Rajdhani Unpolished Chana Dal (Split),112,150,25% off,Rajdhani
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
Jaiccha Namkeen Snacks-Mini Katli Namkeen 400 gms in Br...,345,399,13% off,Jaiccha
Saffola Oats,170,199,14% off,Saffola
zenulife Premium Quality Organic Green Coffee Beans Pow...,232,796,70% off,zenulife
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off,Balance
Ceedberri Chia Seeds,205,400,48% off,Ceedberri
Eighty7 California Almonds,594,747,20% off,Eighty7
hathmic JERI1000 Coconut Oil Jar,577,890,35% off,hathmic
FARMUP Ginger Powder,299,499,40% off,FARMUP
Wonderland Foods Hand Picked Kashmiri Walnut Walnuts,449,699,35% off,Wonderland
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off,Yogabar
"organic forest Chia Seeds, 250gm Premium Quality , For ...",302,324 PREMIUM,6% off,organic
Happilo Californian Premium Sweet Dried Whole Cranberri...,266,295,9% off,Happilo
Borges Extra Virgin Olive Oil Plastic Bottle,678,"1,400",51% off,Borges
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Kellogg's Oats,185,NaN,Nan,Kellogg's
"Tang Lemon Instant Drink Mix, 500g(Each)",257,270,4% off,Tang
FARMUP Yellow Soya Bean (Whole),24 PREMIUM0,250,4% off,FARMUP
Nestle Nan Excella Pro Infant Formula Powder (Stage 1),730,NaN,Nan,Nestle
Ghasitaram Gifts Sundried Papaya 400 gms Papaya,451,499,9% off,Ghasitaram
Tang Mango Instant Drink Mix,199,210,5% off,Tang
Nestle Nan Excella Pro Follow-up Formula-powder (Stage ...,720,NaN,Nan,Nestle
Haldiram's Bhujia Sev,210,NaN,Nan,Haldiram's
Eat Soya Soya Nuts Salted 200gm (Pack of 3),290,300,3% off,Eat Soya
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
Natturano Premium Organic Cold Pressed Coconut Oil Plas...,449,NaN,Nan,Natturano
D NATURE FRESH Almond_Raw_P500 Almonds,459,725,36% off,D NATURE 
Pintola All Natural Honey Peanut Butter (Crunchy) 1 kg,412,449,8% off,Pintola
Mahakosh Refined Soyabean Oil Pouch,116,133,12% off,Mahakosh
SUN'A'DO Dried Blueberries 150g Blueberry,533,549,2% off,SUN'A'DO
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Disano Extra Virgin Olive Oil Plastic Bottle,220,275,20% off,Disano
Horlicks Classic Malt Health Drink,24 PREMIUM1,24 PREMIUM2,Nan,Horlicks
"Organic Forest Raw Seeds Combo Chia, Pumpkin, Sunflower...",650,728,10% off,Organic
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
froods Premium Quality Almonds Almonds,549,899,38% off,froods
Bliss of Earth 2x1KG Authentic Pakistani Fine Powdered ...,465,750,38% off,Bliss
Delight Nuts Dried Cranberries Sliced- 200gm (Pack of 2...,581,598,2% off,Delight
Organic India Gate Tulsi Green Tea Lemon Ginger 25 Tea Bags-...,348,NaN,Nan,Organic
Ghasitaram Gifts Sundried Pineapple 200 gms Pineapple,280,299,6% off,Ghasitaram
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
Cadbury Dairy Milk Silk Bubbly Chocolate Bar (50 gmX4) ...,499,NaN,Nan,Cadbury
Natturano Premium Organic Cold Pressed Safflower Oil Pl...,399,NaN,Nan,Natturano
Nescafe Red Travel Kit Instant Coffee,584,649,10% off,Nescafe
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off,Balance
MYFITNESS Crunchy Natural Peanut Butter Unsweetened 100...,389,499,22% off,MYFITNESS
Ghasitaram Gifts sweets-Strawberry Katli 800 gms Box,"1,199","1,451",17% off,Ghasitaram
Biotrex Nutraceuticals With Honey and Mother Vinegar,349,600,41% off,Biotrex
Eat Soya SOYA NUTS MASALA AND MAGIC PUDINA 200g (PACK O...,200,NaN,Nan,Eat Soya
Rostaa Dried Prunes Prunes,24 PREMIUM0,260,7% off,Rostaa
Herbalvibe Green Coffee Beans Powder for Weight Loss Ma...,598,"1,650",63% off,Herbalvibe
Delight Nuts Berries Mix 200g Assorted Fruit,387,399,3% off,Delight
Oreo Original Chocolatey Sandwich Biscuits,30,NaN,Nan,Oreo
Nescafe Ultimate Kit Instant Coffee,644,699,7% off,Nescafe
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Bel Normande Sparkling Red Grape Juice,465,NaN,Nan,Bel Normade
"Nutty Gritties Jumbo Roasted Pistachios, Lightly Salted...",349,420,16% off,Nutty
Complan Kesar Badam,299,315,5% off,Complan
NAGO Natural Goodness Unpolished Yellow Chana Dal (Spli...,180,200,10% off,NAGO
