Product Name,Price,Original Prices,Discount rates,brand
Onlyleaf 100% Natural Anti-Oxidant Rich Dandelion Herbs...,261,275,5% off,Onlyleaf
Nutty Gritties Southern Pepper Cashews,389,435,10% off,Nutty
Ghasitaram Gifts Cashews Dryfruits-Goan Cashews 200 gms...,351,451,22% off,Ghasitaram
Midiron Himalayan White Rock Salt Premium Quality (Send...,185,199,7% off,Midiron
Horlicks Royal Kesar Badam Flavour,263,NaN,Nan,Horlicks
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
Bliss of Earth 2X250 GM High Curcumin Lakadong Turmeric...,440,770,42% off,Bliss
Nutty Gritties India Gaten Long Green Raisins,165,NaN,Nan,Nutty
zenulife Premium Quality Organic Green Coffee Beans Pow...,399,999,60% off,zenulife
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
"axium axs158 garden mukhwas, gulab mukhwas Mouth Freshe...",434,597,27% off,axium
Midiron Organic Raw Sunflower Seeds (300 g),212,349,39% off,Midiron
MYFITNESS Crunchy Peanut Butter (510g) 1020 g,549,640,14% off,MYFITNESS
Delight Nuts Cashew Roasted & Salted -200gm (Pack of 2)...,775,798,2% off,Delight
Glomin 100% Natural Premium Whole Nuts Cashews,315,425,25% off,Glomin
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off,Yogabar
Yuvika Tej Patta - Cinnamomum Tamala - Bay Leaves (200 ...,199,349,42% off,Yuvika
Yuvika Bahera Sabut - Terminalia Bellirica - Bahera Who...,179,349,48% off,Yuvika
Akiva Superfoods Wheatgrass Health Shots for Detox & Im...,"1,149","1,200",4% off,Akiva
Tang Orange Instant Drink Mix,182,210,13% off,Tang
"TRUE Elements Elements Baked Granola with Rolled Oats, Cranberri...",483,520,7% off,TRUE Elements
Lune De Miel Organic pure,785,NaN,Nan,Lune
Veg E Wagon Munakka (Jumbo Raisins) Premium 500 gm Rais...,478,600,20% off,Veg
Veg E Wagon Hing Peda 500 gm Hing,339,408,16% off,Veg
"Indigenous honey raw, organic, unprocessed, unfiltered,...",501,520,3% off,Indigenous
Tang Mango Instant Drink Mix,199,210,5% off,Tang
YUVIKA Kali Mirch - Black Pepper - Piper Nigrum,199,215,7% off,YUVIKA
Healthkart ACV For Weight Management Vinegar,599,670,10% off,Healthkart
Yuvika Tej Patta Powder - Cinnamomum Tamala - Bay Leave...,229,399,42% off,Yuvika
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
Veg E Wagon Rai (Mustard) # 1 500 gm,128,150,14% off,Veg
Blue Elephant Red Chili Sauce,24 PREMIUM5,NaN,Nan,Blue
Manna Ethnic Proso Millet,266,280,5% off,Manna
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
Nestle Koko Krunch Choco Burst,170,NaN,Nan,Nestle
Balance Instant 60 Sachets Stevia & LemonGrass Green Co...,499,750,33% off,Balance
Midiron Amla Dehydrated Sweet Candy Tasty & Healthy Can...,374,799,53% off,Midiron
Bliss of Earth 1KG Authentic Pakistani Himalayan Pink S...,290,490,40% off,Bliss
Delight Nuts Flax Seeds Roasted & Salted- 750gm (Value ...,484,499,3% off,Delight
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Coco Soul Cold Pressed Natural Virgin VCNO Coconut Oil ...,399,NaN,Nan,Coco
Glomin Premium Seedless Green (Kishmish) Raisins,169,299,43% off,Glomin
Midiron Himalayan Rock Salt Premium Quality (Sendha Nam...,230,399,42% off,Midiron
Nutty Gritties Southern Pepper Cashew Nuts,389,435,10% off,Nutty
Yuvika Bel Patta Powder (100 GM),139,199,30% off,Yuvika
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
TRUE Elements Elements Dried Blueberries Blueberry,359,375,4% off,TRUE Elements
"Nutty Gritties Jumbo Roasted Cashewnuts, Lightly Salted",395,420,5% off,Nutty
zenulife Premium Strong & Natural Green Coffee 200 g In...,24 PREMIUM9,599,58% off,zenulife
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off,Yogabar
BHARAT HONEY KASHMIRI HONEY 500 G,420,NaN,Nan,BHARAT
TRUE Elements Elements Whole Oats Groats Whole Wheat,308,325,5% off,TRUE Elements
Delight Nuts Pistachios Roasted & Salted- 200gm (Pack o...,755,778,2% off,Delight
Onlyleaf 100% Natural Anti-Oxidant Rose Rose Green Tea ...,261,275,5% off,Onlyleaf
Shara's W24 PREMIUM0 Jumbo Size Cashew Nuts I Kaju I Cashews,599,970,38% off,Shara's
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off,Balance
Wonderland FOODS (DEVICE) Roasted Makhana Sea Salt and ...,480,NaN,Nan,Wonderland
Haldiram's Mixture,30,NaN,Nan,Haldiram's
"TRUE Elements Elements Raw Chia Seeds for Weight Loss, High in C...",559,600,6% off,TRUE Elements
Tang Orange Instant Drink Mix,182,210,13% off,Tang
Sonal Dry fruit Premium California Almonds Almonds,299,360,16% off,Sonal
"Yogabar Multigrain Energy Bars - (Nuts and Seeds, 38gm ...",349,400,12% off,Yogabar
Ketofy Almond Butter (2x200g) 200 g,849,999,15% off,Ketofy
HealthViva With Mother Vinegar Vinegar,499,999,50% off,HealthViva
"axium axs192 Orange Candy, Black Candy, Anardana Goli C...",419,597,29% off,axium
Tang Mango Instant Drink Mix,199,210,5% off,Tang
PMW Fenugreek Seeds - Menthulu - Methi Seeds - Trigonel...,79,199,60% off,PMW
SFT Yellow Peanut (Whole),189,369,48% off,SFT
Balaji Premium Almonds,24 PREMIUM5,270,9% off,Balaji
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off,Tang
Herbal Essentials Combo Pack of Chia Seed & Quinoa Seed...,195,598,67% off,Herbal Essentials
Nutty Desires Cashews 250 g (Premium whole Kaju) Cashew...,499,700,28% off,Nutty
Nutty Gritties Dried Blueberrries 150g Blueberry,449,495,9% off,Nutty
NutroActive Sweet Basil Seeds,349,378,7% off,NutroActive
FRUIT NUT Premium Imported quality Cashew Cashews,349,997,64% off,FRUIT
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off,Pintola
Manna 100% Natural & Gluten Free Proso Millet,400,NaN,Nan,Manna
"Freshzo Lime Juice Concentrate, 250ml (Pack of 6) (1500...",449,480,6% off,Freshzo
Singla Best Quality Kaju Katli (1 kg) Box,"1,100","1,450",24 PREMIUM% off,Singla
NutrineLife With the Mother Vinegar,499,899,44% off,NutrineLife
Herbsjoy Mother Vinegar Vinegar,314,998,68% off,Herbsjoy
"Eighty7 California Almonds(250g), Cashews(250g) and Rai...",892,"1,021",12% off,Eighty7
Cadbury Valentine Special Heart Shape Chocolate Gift Ha...,599,749,20% off,Cadbury
Bliss of Earth Certified Organic Edible Flaxseed oil Fl...,427,725,41% off,Bliss
Natturano Premium Organic Cold Pressed Til / Sesame Oil...,499,NaN,Nan,Natturano
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off,Yogabar
TGL Co. Morning Motivation Instant Coffee Powder Freeze...,485,539,10% off,TGL
Veg E Wagon Rai (Mustard) # 2 1000 gm,208,24 PREMIUM5,15% off,Veg
"Cadbury Chocolate Bar, 60 gm - Pack of 6 Bars",420,NaN,Nan,Cadbury
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off,Balance
Pintola Classic Peanut Butter-(Crunchy) 350 g,140,155,9% off,Pintola
e food factory Black Kishmish (Raisins) Regular 250 In ...,279,499,44% off,e food factoory
Haim Organic Wholegrain Brown Rice Cakes with Buckwheat...,777,780,Nan,Haim
"Midiron Pumpkin Seeds (350 gm), Rich in Zinc & Powerhou...",359,449,20% off,Midiron
Fabelle The Bars Trilogy Bars,"1,100",NaN,Nan,Fabelle
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off,Wnature
