Product Name,Price,Original Prices,Discount rates,brand
"TOPHAVEN Baby Knee Pads for Crawling,Comfortable Knee C...",187,599,68% off,TOPHAVEN
Johnson's Skincare Wipes 80s (Pack of 3),586,690,15% off,Johnson's
MamyPoko Pants Pants Extra Absorb Diapers - S,648,699,7% off,MamyPoko Pants
Nestle Nestum Rice Fruits Cereal,177,NaN,Nan,Nestle
IM ENTERPRISE Colorful Floating Baby Bath Aquatic Anima...,299,999,70% off,IM ENTERPRISE
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,448,699,35% off,Miss
Huggies Ultra soft - XS,265,315,15% off,Huggies
TEMSON Baby Bath Tub/Pool - 2 FT Bath Toy,299,499,40% off,TEMSON
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
Huggies Dry pants Large - L,169,199,15% off,Huggies
Himalaya GENTLE BABY SOAP VALUE PACK,132,NaN,Nan,Himalaya
Himalaya Baby Lotion,137,145,5% off,Himalaya
Indus Valley BIO Organic Extra Virgin Coconut Oil,219,249,12% off,Indus
Pampers Premium Care Pant Style Diapers Small Size - 70...,891,"1,049",15% off,Pampers
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Pampers Premium Care Pants Diapers Monthly Box Pack - M,"1,679","2,099",20% off,Pampers
Wishkey Baby Bath Toys-Set Of 14 For Boys Girls Kids Ba...,319,379,15% off,Wishkey
Nestle Cerelac Wheat - Rice Mixed Fruit Cereal,242,NaN,Nan,Nestle
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Enfamil A Plus Stage 1 Infant Formula,715,NaN,Nan,Enfamil
Brandonn Solid Single Hooded Baby Blanket,299,"1,200",75% off,Brandonn
Huggies Wonder Pants Diaper - S,410,499,17% off,Huggies
Himalaya Baby Cream,121,128,5% off,Himalaya
Philips Avent NATURAL 2.0 BOTTLE 260ml Single - 260 ml,495,NaN,Nan,Philips
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Little Angel Baby Diaper - XL,"1,199","1,998",39% off,Little
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
"Mamaearth Gentle Cleansing Baby Shampoo : New borns, ba...",183,199,8% off,Mamaearth
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
"LuvLap Baby Moisturising Wipes with Aloe Vera,72 Wipes/...",255,345,26% off,LuvLap
Nestle Cerelac Rice Vegetables Cereal,235,NaN,Nan,Nestle
Johnson's Baby Hair Oil,207,230,10% off,Johnson's
