Product Name,Price,Original Prices,Discount rates,brand,Column1
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off,,NapCloud
"CAPITAL Ultra Slim tv LCD LED TVs Wall Mount Stand 21"" ...",299,799,62% off,,CAPITAL
Snazzy Lightweight Laptop Wood Portable Laptop Table,"1,299","1,599",18% off,,Snazzy
Flipzon Baby 6 Shelve Unbreakable Material PVC Collapsi...,995,"2,999",66% off,,Flipzon
Ebee Metal Shoe Stand,499,899,44% off,,Ebee
FurnCentral Metal Kitchen Cabinet,"1,849","2,999",38% off,,FurnCentral
NapCloud ZipNap Plus 8 inch King Memory Foam Mattress,"16,499","21,999",25% off,,NapCloud
Regalo Stool,589,"1,499",60% off,,Regalo
Flipkart Perfect Homes Cluedo Glass Coffee Table,"4,290","6,499",33% off,,Flipkart
Peps Springkoil Normal Top Blue 10 inch Double Bonnell ...,"13,690","14,063",2% off,,Peps
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off,,Flipkart
Continental Storage Box Portable & Foldable Laundry Box...,475,999,52% off,,Continental
Flipkart Perfect Homes Dalton Study Table,"6,590","7,999",17% off,,Flipkart
Spacewood Engineered Wood Coffee Table,"2,490","2,520",1% off,,Spacewood
Ebee Metal Shoe Stand,599,"1,099",45% off,,Ebee
Flipkart Perfect Homes Studio 2 Door 4 Shelf PP Collaps...,"1,299","2,999",56% off,,Flipkart
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off,,Flipkart
Muebles Casa Croma Leatherette 3 Seater  Sofa,"18,990","70,000",72% off,,Muebles
FOLDDON FD123BG PP (Polypropylene) Collapsible Wardrobe,"1,599","3,600",55% off,,FOLDDON
Nilkamal FMDR1C Plastic Free Standing Cabinet,"5,790","5,880",1% off,,Nilkamal
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off,,NapCloud
Cello Plastic Shoe Rack,"2,690","2,755",2% off,,Cello
Mantavya KIds & Adults Cotton Swing,399,999,60% off,,Mantavya
Cello Proline Plastic Outdoor Table,"2,390","2,586",7% off,,Cello
ReTrack Heavy Duty Single Arm LCD Monitor Stand 19 To 4...,799,"1,499",46% off,,ReTrack
Ebee Metal Collapsible Shoe Stand,480,999,51% off,,Ebee
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off,,NapCloud
Joyful Plastic Free Standing Chest of Drawers,"1,535","2,625",41% off,,Joyful
Valtos Engineered Wood Bedside Table,"2,790","5,000",44% off,,Valtos
FurnCentral Fabric Shoe Stand,973,"1,999",51% off,,FurnCentral
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off,,NapCloud
Ebee Metal Kitchen Cabinet,499,"1,299",61% off,,Ebee
Flipkart Perfect Homes Atiu Metal 4 Seater Dining Set,"15,190","16,999",10% off,,Flipkart
MX Ultra Slim Lcd Led Tv Plasma Wall Mount Stand 32 To ...,799,932,14% off,,MX
Karmax Wood Portable Laptop Table,"1,699","2,499",32% off,,Karmax
FurnCentral Wood Portable Laptop Table,"1,349","1,798",24% off,,FurnCentral
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off,,NapCloud
RoyalOak MICKIES Engineered Wood Study Table,"3,430","5,000",31% off,,RoyalOak
Sasimo 1-Door 6-Shelf Fabric Metal Collapsible Shoe Sta...,999,"4,899",79% off,,Sasimo
Gymfy COLLAPSIBLE SHOE STAND Plastic Collapsible Shoe S...,591,"1,599",63% off,,Gymfy
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off,,NapCloud
Snazzy (Extra Large) Wood Portable Laptop Table,"1,549","1,599",3% off,,Snazzy
RoyalOak Engineered Wood Shoe Rack,"4,590","8,990",48% off,,RoyalOak
Ebee Plastic Kitchen Trolley,749,"2,199",65% off,,Ebee
@home by Nilkamal Engineered Wood Shoe Rack,"3,890","7,500",48% off,,@home
HomeTown Albert Engineered Wood Free Standing Cabinet,"6,890","17,990",61% off,,HomeTown
NapCloud ZipNap Plus 8 inch King Memory Foam Mattress,"16,499","21,999",25% off,,NapCloud
Spacewood Engineered Wood King Box Bed,"20,390","35,811",43% off,,Spacewood
Flipkart Perfect Homes Waltz Engineered Wood Queen Box ...,"13,990","19,999",30% off,,Flipkart
FurnCentral Fabric Shoe Stand,899,"1,999",55% off,,FurnCentral
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off,,Flipkart
FurnCentral Metal Display Unit,699,"1,299",46% off,,FurnCentral
Snazzy (Extra Large) Metal Portable Laptop Table,"1,549","2,199",29% off,,Snazzy
Shopper52 Standard Double Dustproof & Dampproof Shoe Ra...,"1,199","2,000",40% off,,Shopper52
SleepX Dual Medium Soft & Hard 5 inch Queen Bonded Foam...,"10,190","10,834",5% off,,SleepX
Ebee Metal Collapsible Shoe Stand,699,"1,799",61% off,,Ebee
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off,,Flipkart
Eduway 1.5X2 Display Board Notice Board,389,"1,999",80% off,,Eduway
Flipkart Perfect Homes Sheesham Wood Solid Wood Coffee ...,"7,890","14,193",44% off,,Flipkart
CMerchants 5 SHELF STAND MAROON Metal Collapsible Shoe ...,580,"1,199",51% off,,CMerchants
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off,,NapCloud
Flipkart Perfect Homes Engineered Wood Close Book Shelf,"4,890","6,499",24% off,,Flipkart
