Product Name,Price,Original Prices,Discount rates,Ratings,Brand
Lava ONE,"1,499",NaN,Nan,4.1,Lava
Gfive U229,499,599,16% off,3.7,Gfive
Gfive U229,499,"1,099",54% off,3.7,Gfive
Kechaoda K66 Plus,999,NaN,Nan,4.1,Kechaoda
"Vivo S1 (Skyline Blue, 128 GB)","19,990","22,990",13% off,4.5,Vivo
"Mi A3 (More Than White, 128 GB)","14,999","17,499",14% off,4.3,Mi
"OPPO A5 2020 (Mirror Black, 64 GB)","13,990","15,990",12% off,4.4,OPPO
"OPPO A5 2020 (Dazzling White, 64 GB)","13,990","15,990",12% off,4.4,OPPO
"Samsung Galaxy J2 Core (Blue, 16 GB)","6,299","6,999",10% off,4.2,Samsung
Kechaoda A26,990,NaN,Nan,4.1,Kechaoda
"Redmi Note 8 Pro (Shadow Black, 128 GB)","18,999","19,999",5% off,4.5,Redmi
"Vivo S1 (Skyline Blue, 128 GB)","16,990","19,990",15% off,4.5,Vivo
"Vivo V17 (Midnight Ocean Black, 128 GB)","24,990","27,990",10% off,4.5,Vivo
"Honor 9X (Sapphire Blue, 128 GB)","16,999","19,999",15% off,4.4,Honor
"Honor 9X (Sapphire Blue, 128 GB)","13,999","15,999",12% off,4.3,Honor
"Mi A3 (Kind of Grey, 64 GB)","12,999","14,999",13% off,4.3,Mi
"Samsung Galaxy S9 (Midnight Black, 64 GB)","24,999","62,500",60% off,4.4,Samsung
"Infinix S5 Pro (Forest Green, 64 GB)","10,999","12,999",15% off,4.5,Infinix
"Moto E6s (Caribbean Blue, 64 GB)","7,999","9,999",20% off,4.1,Moto
"Redmi Note 7S (Sapphire Blue, 64 GB)","11,999","13,999",14% off,4.4,Redmi
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Redmi 8A (Ocean Blue, 32 GB)","6,999","7,999",12% off,4.4,Redmi
"Realme C3 (Blazing Red, 64 GB)","8,999",NaN,Nan,4.4,Realme
"Honor 20i (Phantom Red, 128 GB)","10,999","16,999",35% off,4.3,Honor
Forme N1,599,NaN,Nan,3.5,Forme
"Apple iPhone SE (Red, 128 GB)","47,800",NaN,Nan,4.7,Apple
"Honor 9 Lite (Sapphire Blue, 32 GB)","8,499","13,999",39% off,4.3,Honor
"Honor 9 Lite (Midnight Black, 32 GB)","8,499","13,999",39% off,4.3,Honor
"Honor 9 Lite (Glacier Grey, 32 GB)","8,499","13,999",39% off,4.3,Honor
"Nokia 7.2 (Ice, 64 GB)","16,399","20,999",21% off,4.2,Nokia
"Moto E6s (Rich Cranberry, 64 GB)","7,999","9,999",20% off,4.1,Moto
"Redmi Go (Black, 8 GB)","4,499","5,999",25% off,4.3,Redmi
"Realme X2 (Pearl Blue, 128 GB)","20,999",NaN,Nan,4.5,Realme
"Vivo U10 (Electric Blue, 64 GB)","11,990","13,990",14% off,4.4,Vivo
"Realme X (Garlic, 128 GB)","20,999",NaN,Nan,4.5,Realme
"Redmi Note 6 Pro (Black, 64 GB)","11,999","17,999",33% off,4.5,Redmi
